sku_id,category,subtype,base_price
1484,Apparel Basics,socks multipack,7.22
1454,Apparel Basics,hoodie,41.99
1471,Apparel Basics,joggers,24.99
1446,Apparel Basics,hoodie,20.99
1445,Apparel Basics,hoodie,20.99
1440,Apparel Basics,polo,20.24
1423,Apparel Basics,polo,11.24
1481,Apparel Basics,socks multipack,7.22
1411,Apparel Basics,crew‑neck tee,9.99
1401,Apparel Basics,crew‑neck tee,7.99
1419,Apparel Basics,crew‑neck tee,12.99
1431,Apparel Basics,polo,14.99
1474,Apparel Basics,joggers,33.74
1434,Apparel Basics,polo,20.24
1491,Apparel Basics,socks multipack,8.49
1405,Apparel Basics,crew‑neck tee,7.99
1477,Apparel Basics,joggers,33.74
1478,Apparel Basics,joggers,33.74
1413,Apparel Basics,crew‑neck tee,9.99
1432,Apparel Basics,polo,14.99
1456,Apparel Basics,hoodie,41.99
1489,Apparel Basics,socks multipack,8.49
1427,Apparel Basics,polo,11.24
1443,Apparel Basics,hoodie,20.99
1470,Apparel Basics,joggers,24.99
1416,Apparel Basics,crew‑neck tee,12.99
1441,Apparel Basics,hoodie,20.99
1497,Apparel Basics,socks multipack,10.19
1410,Apparel Basics,crew‑neck tee,9.99
1473,Apparel Basics,joggers,24.99
1412,Apparel Basics,crew‑neck tee,9.99
1448,Apparel Basics,hoodie,29.99
1486,Apparel Basics,socks multipack,7.22
1429,Apparel Basics,polo,14.99
1494,Apparel Basics,socks multipack,8.49
1406,Apparel Basics,crew‑neck tee,7.99
1467,Apparel Basics,joggers,24.99
1466,Apparel Basics,joggers,18.74
1436,Apparel Basics,polo,20.24
1417,Apparel Basics,crew‑neck tee,12.99
1450,Apparel Basics,hoodie,29.99
1435,Apparel Basics,polo,20.24
1408,Apparel Basics,crew‑neck tee,9.99
1496,Apparel Basics,socks multipack,10.19
1428,Apparel Basics,polo,14.99
1420,Apparel Basics,crew‑neck tee,12.99
1482,Apparel Basics,socks multipack,7.22
1426,Apparel Basics,polo,11.24
1463,Apparel Basics,joggers,18.74
1414,Apparel Basics,crew‑neck tee,9.99
624,Bakery,bagel pack,3.49
569,Bakery,white loaf,2.65
669,Bakery,croissant,2.52
629,Bakery,bagel pack,3.49
627,Bakery,bagel pack,3.49
582,Bakery,whole‑grain loaf,2.6
615,Bakery,bagel pack,2.72
692,Bakery,muffin pack,4.19
619,Bakery,bagel pack,2.72
633,Bakery,bagel pack,4.54
661,Bakery,croissant,2.52
563,Bakery,white loaf,2.65
587,Bakery,whole‑grain loaf,2.6
560,Bakery,white loaf,2.12
570,Bakery,white loaf,2.65
607,Bakery,whole‑grain loaf,4.06
655,Bakery,croissant,1.8
620,Bakery,bagel pack,2.72
606,Bakery,whole‑grain loaf,4.06
683,Bakery,muffin pack,3.1
580,Bakery,white loaf,3.31
678,Bakery,muffin pack,2.33
577,Bakery,white loaf,3.31
679,Bakery,muffin pack,2.33
682,Bakery,muffin pack,3.1
696,Bakery,muffin pack,4.19
659,Bakery,croissant,1.8
694,Bakery,muffin pack,4.19
596,Bakery,whole‑grain loaf,3.25
581,Bakery,whole‑grain loaf,2.6
573,Bakery,white loaf,3.31
566,Bakery,white loaf,2.65
616,Bakery,bagel pack,2.72
562,Bakery,white loaf,2.65
